Ville,Type,Prix,Prix_annonce_m2,Prix_reference_m2,Décote_%,Rendement_brut,Label,Url
toulouse,Appartement,135000.0,2596.15,3507.0,25.97,0.0698,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1931447
toulouse,Appartement,169950.0,2599.42,3507.0,25.88,0.0697,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-company40779suy-appt-4919
toulouse,Maison,580000.0,3452.38,4077.0,15.32,0.0441,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/century-21-202_1052_120796
blagnac,Maison,338000.0,3017.86,3912.0,22.86,0.0497,Décote >20%,https://www.bienici.com/annonce/vente/blagnac/maison/6pieces/consortium-170059884
toulouse,Appartement,169500.0,2950.39,3507.0,15.87,0.0614,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/hektor-SETFIMMOBILIER2022-33527
colomiers,Maison,225000.0,2556.82,3335.0,23.33,0.0573,Décote >20%,https://www.bienici.com/annonce/vente/colomiers/maison/5pieces/consortium-169652264
toulouse,Appartement,146000.0,2654.55,3507.0,24.31,0.0683,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1863917
toulouse,Appartement,135500.0,1426.32,3507.0,59.33,0.127,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/5pieces/century-21-202_1052_112524
toulouse,Maison,430000.0,3583.33,4077.0,12.11,0.0425,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/hektor-1_ag311247-85139
toulouse,Maison,320000.0,3653.8,4077.0,10.38,0.0417,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/century-21-202_1052_112185
toulouse,Appartement,240000.0,2467.87,3507.0,29.63,0.0734,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-866722
toulouse,Appartement,124200.0,2920.29,3507.0,16.73,0.062,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/netty-ogp-appt-3578
toulouse,Appartement,205000.0,3014.71,3507.0,14.04,0.0601,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/laforet-immo-facile-52311397
plaisance-du-touch,Maison,330000.0,2357.14,3373.0,30.12,0.0779,Décote >20%,https://www.bienici.com/annonce/vente/plaisance-du-touch/maison/7pieces/netty-taur-house-451
toulouse,Appartement,199000.0,3034.46,3507.0,13.47,0.0597,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/hektor-LANNES2020-46792
toulouse,Maison,719900.0,2465.41,4077.0,39.53,0.0618,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/9pieces/ag133861-524140730
toulouse,Maison,299000.0,3378.53,4077.0,17.13,0.0451,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/guy-hoquet-immo-facile-7543837
toulouse,Maison,320000.0,2318.84,4077.0,43.12,0.0657,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/iad-france-870726
toulouse,Maison,409500.0,3102.27,4077.0,23.91,0.0491,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/hektor-mytoulouse-771
toulouse,Maison,189000.0,3258.62,4077.0,20.07,0.0468,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/immo-facile-60404878
toulouse,Appartement,149900.0,2331.26,3507.0,33.53,0.0777,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/immo-facile-60402806
toulouse,Appartement,119000.0,2479.17,3507.0,29.31,0.0731,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/citya-immobilier-20490-TAPP970140
toulouse,Appartement,130000.0,2063.49,3507.0,41.16,0.0878,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/citya-immobilier-20490-TAPP520053
toulouse,Appartement,182000.0,2899.94,3507.0,17.31,0.0625,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-c2isudouest2-appt-3302
toulouse,Appartement,138000.0,3136.36,3507.0,10.57,0.0578,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/netty-company35153qdg-appt-6145
toulouse,Appartement,115000.0,2473.12,3507.0,29.48,0.0733,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/consortium-172683314
toulouse,Appartement,198000.0,2911.76,3507.0,16.97,0.0622,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag315079-523201676
toulouse,Appartement,145000.0,2543.86,3507.0,27.46,0.0712,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-immobilier-20490-TAPP964257A
toulouse,Maison,383000.0,3461.05,4077.0,15.11,0.044,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/century-21-202_3255_20192
toulouse,Appartement,195000.0,2241.38,3507.0,36.09,0.0808,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/ag754248-522612776
toulouse,Appartement,80000.0,1951.22,3507.0,44.36,0.0929,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/consortium-172604704
toulouse,Maison,190000.0,2872.26,4077.0,29.55,0.0531,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/3pieces/century-21-202_1052_120892
toulouse,Appartement,205000.0,3153.85,3507.0,10.07,0.0575,Décote >10%,https://www.bienici.com/annonce/vente de prestige/toulouse/appartement/3pieces/hektor-SETFIMMOBILIER2022-46947
toulouse,Appartement,159000.0,2741.38,3507.0,21.83,0.0661,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-company35613nvq-appt-2127
toulouse,Appartement,219000.0,3084.51,3507.0,12.05,0.0587,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/laforet-immo-facile-52534854
toulouse,Appartement,199000.0,3037.24,3507.0,13.39,0.0597,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/immo-facile-60223894
